"GEO_ID","NAME","PCT016001","PCT016002","PCT016003","PCT016004","PCT016005","PCT016006","PCT016007","PCT016008","PCT016009","PCT016010","PCT016011","PCT016012","PCT016013","PCT016014","PCT016015","PCT016016","PCT016017","PCT016018","PCT016019","PCT016020","PCT016021","PCT016022","PCT016023","PCT016024","PCT016025","PCT016026"
"id","Geographic Area Name","Total","Total!!Family households","Total!!Family households!!Husband-wife family","Total!!Family households!!Husband-wife family!!With no children under 18 years","Total!!Family households!!Husband-wife family!!With one child under 18 years","Total!!Family households!!Husband-wife family!!With two children under 18 years","Total!!Family households!!Husband-wife family!!With three children under 18 years","Total!!Family households!!Husband-wife family!!With four or more children under 18 years","Total!!Family households!!Male householder, no wife present","Total!!Family households!!Male householder, no wife present!!With no children under 18 years","Total!!Family households!!Male householder, no wife present!!With one child under 18 years","Total!!Family households!!Male householder, no wife present!!With two children under 18 years","Total!!Family households!!Male householder, no wife present!!With three children under 18 years","Total!!Family households!!Male householder, no wife present!!With four or more children under 18 years","Total!!Family households!!Female householder, no husband present","Total!!Family households!!Female householder, no husband present!!With no children under 18 years","Total!!Family households!!Female householder, no husband present!!With one child under 18 years","Total!!Family households!!Female householder, no husband present!!With two children under 18 years","Total!!Family households!!Female householder, no husband present!!With three children under 18 years","Total!!Family households!!Female householder, no husband present!!With four or more children under 18 years","Total!!Nonfamily households","Total!!Nonfamily households!!With no children under 18 years","Total!!Nonfamily households!!With one child under 18 years","Total!!Nonfamily households!!With two children under 18 years","Total!!Nonfamily households!!With three children under 18 years","Total!!Nonfamily households!!With four or more children under 18 years"
"1400000US53061041703","Census Tract 417.03, Snohomish County, Washington","1778","1311","1021","527","186","190","98","20","104","49","31","20","3","1","186","68","67","33","12","6","467","463","2","2","0","0"
"1400000US53033008400","Census Tract 84, King County, Washington","2707","343","229","191","20","13","4","1","26","17","6","2","1","0","88","32","40","11","3","2","2364","2360","4","0","0","0"
"1400000US53015000602","Census Tract 6.02, Cowlitz County, Washington","1312","893","706","479","95","96","32","4","47","17","16","10","2","2","140","60","46","23","8","3","419","415","3","1","0","0"
"1400000US53001950200","Census Tract 9502, Adams County, Washington","699","468","370","240","43","47","25","15","35","12","9","4","6","4","63","17","23","16","2","5","231","228","1","2","0","0"
"1400000US53061052904","Census Tract 529.04, Snohomish County, Washington","2001","1429","1053","525","202","204","81","41","99","32","36","19","7","5","277","84","82","81","24","6","572","566","6","0","0","0"
"1400000US53053071808","Census Tract 718.08, Pierce County, Washington","1525","938","520","292","89","75","30","34","118","46","35","21","13","3","300","90","96","76","21","17","587","579","7","1","0","0"
"1400000US53033000200","Census Tract 2, King County, Washington","3499","1795","1333","823","249","208","42","11","133","67","42","18","3","3","329","153","109","48","14","5","1704","1694","4","5","1","0"
"1400000US53033027800","Census Tract 278, King County, Washington","1405","979","843","580","102","126","24","11","47","26","11","5","2","3","89","49","21","13","3","3","426","425","1","0","0","0"
"1400000US53053073122","Census Tract 731.22, Pierce County, Washington","1434","1168","916","361","208","222","92","33","65","20","26","9","4","6","187","41","70","48","21","7","266","255","7","4","0","0"
"1400000US53053071100","Census Tract 711, Pierce County, Washington","947","639","480","309","55","68","35","13","40","16","10","12","2","0","119","45","35","27","10","2","308","304","3","1","0","0"
"1400000US53033000401","Census Tract 4.01, King County, Washington","3134","1029","679","418","149","87","18","7","98","51","34","10","3","0","252","104","97","37","11","3","2105","2099","5","1","0","0"
"1400000US53063012000","Census Tract 120, Spokane County, Washington","1698","1022","708","433","95","108","53","19","107","46","32","18","9","2","207","70","70","44","18","5","676","667","7","0","2","0"
"1400000US53033007500","Census Tract 75, King County, Washington","4114","593","443","361","48","31","3","0","50","24","19","6","0","1","100","36","45","12","5","2","3521","3517","4","0","0","0"
"1400000US53061052208","Census Tract 522.08, Snohomish County, Washington","1574","911","597","256","122","127","53","39","111","39","36","21","11","4","203","48","82","54","9","10","663","661","2","0","0","0"
"1400000US53053071705","Census Tract 717.05, Pierce County, Washington","1292","854","529","249","97","98","58","27","97","40","25","17","9","6","228","68","60","54","34","12","438","430","5","1","1","1"
"1400000US53033003500","Census Tract 35, King County, Washington","1818","840","732","406","154","154","17","1","27","19","6","2","0","0","81","45","26","10","0","0","978","977","1","0","0","0"
"1400000US53063010401","Census Tract 104.01, Spokane County, Washington","1603","1072","700","368","131","135","47","19","110","42","36","16","15","1","262","70","92","68","25","7","531","527","2","2","0","0"
"1400000US53033024800","Census Tract 248, King County, Washington","2246","1449","1061","501","242","241","56","21","105","53","32","15","4","1","283","112","100","53","14","4","797","789","5","3","0","0"
"1400000US53005011501","Census Tract 115.01, Benton County, Washington","2324","1799","1354","766","215","200","116","57","172","68","52","32","11","9","273","88","75","66","24","20","525","517","5","3","0","0"
"1400000US53033029901","Census Tract 299.01, King County, Washington","1522","1228","943","464","192","170","73","44","92","40","27","16","7","2","193","75","56","32","19","11","294","286","4","3","1","0"
"1400000US53063003800","Census Tract 38, Spokane County, Washington","882","391","272","180","33","40","11","8","28","12","11","3","2","0","91","32","42","10","4","3","491","490","1","0","0","0"
"1400000US53033022005","Census Tract 220.05, King County, Washington","2132","1152","794","446","169","141","31","7","111","52","36","19","3","1","247","100","91","42","8","6","980","972","5","2","1","0"
"1400000US53033024901","Census Tract 249.01, King County, Washington","1762","1508","1381","731","233","323","77","17","41","22","10","7","2","0","86","38","22","20","2","4","254","254","0","0","0","0"
"1400000US53063012802","Census Tract 128.02, Spokane County, Washington","1234","936","714","435","96","115","47","21","66","21","21","19","1","4","156","63","39","40","7","7","298","287","8","1","2","0"
"1400000US53005011503","Census Tract 115.03, Benton County, Washington","3398","2576","2186","1195","332","374","188","97","128","40","41","35","8","4","262","74","79","78","21","10","822","815","5","1","1","0"
"1400000US53033008900","Census Tract 89, King County, Washington","2080","976","609","337","126","96","32","18","76","32","31","12","0","1","291","95","115","48","19","14","1104","1099","5","0","0","0"
