"county","tract","cbsa13","cntyname","cbsaname","pop10","afact"
"County code","Tract","cbsa13","County name","2013 CBSA name","Total population (2010)","tract to cbsa13 allocation factor"
"53009","0017.00","38820","Clallam WA","Port Angeles, WA (Micro)",4670,1 
"53009","0018.00","38820","Clallam WA","Port Angeles, WA (Micro)",2739,1 
"53009","0019.00","38820","Clallam WA","Port Angeles, WA (Micro)",5693,1 
"53009","0020.00","38820","Clallam WA","Port Angeles, WA (Micro)",5202,1 
"53009","0021.00","38820","Clallam WA","Port Angeles, WA (Micro)",3523,1 
"53009","0023.00","38820","Clallam WA","Port Angeles, WA (Micro)",3983,1 
"53009","9400.00","38820","Clallam WA","Port Angeles, WA (Micro)",1414,1 
"53011","0401.01","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",5154,1 
"53011","0401.02","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",3590,1 
"53011","0402.01","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",5670,1 
"53011","0402.02","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",3658,1 
"53011","0402.03","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",5442,1 
"53011","0403.01","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",1471,1 
"53011","0403.02","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",6256,1 
"53011","0404.03","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",3848,1 
"53011","0404.07","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",5343,1 
"53011","0404.08","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",3454,1 
"53011","0404.09","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",1834,1 
"53011","0404.11","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",1874,1 
"53011","0404.12","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",4333,1 
"53011","0404.13","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",2707,1 
"53011","0404.14","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",5935,1 
"53011","0404.15","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",3839,1 
"53011","0404.16","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",3199,1 
"53011","0405.04","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",4883,1 
"53011","0405.05","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",5584,1 
"53011","0405.07","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",1998,1 
"53011","0405.08","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",6310,1 
"53011","0405.09","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",2990,1 
"53011","0405.10","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",5032,1 
"53011","0405.11","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",2188,1 
"53011","0406.03","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",4683,1 
"53011","0406.04","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",5486,1 
"53011","0406.05","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",4680,1 
"53011","0406.08","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",3817,1 
"53011","0406.09","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",4508,1 
"53011","0406.10","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",3193,1 
"53011","0407.03","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",6384,1 
"53011","0407.06","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",3702,1 
"53011","0407.07","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",3245,1 
"53011","0407.09","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",4196,1 
"53011","0407.10","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",4705,1 
"53011","0407.11","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",3098,1 
"53011","0407.12","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",5413,1 
"53011","0408.03","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",5035,1 
"53011","0408.05","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",5735,1 
"53011","0408.06","38900","Clark WA","Portland-Vancouver-Hillsboro, OR-WA (Metro)",4611,1 
