"state","puma12","county","tract","stab","cntyname","PUMAname","pop10","afact"
"State code","puma12","County code","Tract","State abbreviation","County name","PUMA12 name","Total population (2010)","puma12 to tract allocation factor"
"53","10200","53057","9501.00","WA","Skagit WA","Skagit, Island & San Juan Counties",873,0.004 
"53","10200","53057","9508.00","WA","Skagit WA","Skagit, Island & San Juan Counties",6015,0.028 
"53","10200","53057","9509.00","WA","Skagit WA","Skagit, Island & San Juan Counties",4071,0.019 
"53","10200","53057","9510.00","WA","Skagit WA","Skagit, Island & San Juan Counties",2821,0.013 
"53","10200","53057","9511.00","WA","Skagit WA","Skagit, Island & San Juan Counties",4715,0.022 
"53","10200","53057","9512.00","WA","Skagit WA","Skagit, Island & San Juan Counties",2989,0.014 
"53","10200","53057","9513.00","WA","Skagit WA","Skagit, Island & San Juan Counties",1853,0.009 
"53","10200","53057","9514.00","WA","Skagit WA","Skagit, Island & San Juan Counties",4029,0.019 
"53","10200","53057","9515.00","WA","Skagit WA","Skagit, Island & San Juan Counties",9326,0.044 
"53","10200","53057","9516.00","WA","Skagit WA","Skagit, Island & San Juan Counties",4352,0.021 
"53","10200","53057","9517.00","WA","Skagit WA","Skagit, Island & San Juan Counties",3689,0.017 
"53","10200","53057","9518.00","WA","Skagit WA","Skagit, Island & San Juan Counties",4418,0.021 
"53","10200","53057","9519.00","WA","Skagit WA","Skagit, Island & San Juan Counties",3519,0.017 
"53","10200","53057","9521.00","WA","Skagit WA","Skagit, Island & San Juan Counties",3310,0.016 
"53","10200","53057","9522.00","WA","Skagit WA","Skagit, Island & San Juan Counties",4144,0.02 
"53","10200","53057","9523.01","WA","Skagit WA","Skagit, Island & San Juan Counties",4562,0.022 
"53","10200","53057","9523.02","WA","Skagit WA","Skagit, Island & San Juan Counties",8722,0.041 
"53","10200","53057","9524.01","WA","Skagit WA","Skagit, Island & San Juan Counties",2831,0.013 
"53","10200","53057","9524.02","WA","Skagit WA","Skagit, Island & San Juan Counties",7408,0.035 
"53","10200","53057","9525.00","WA","Skagit WA","Skagit, Island & San Juan Counties",3290,0.016 
"53","10200","53057","9526.00","WA","Skagit WA","Skagit, Island & San Juan Counties",3821,0.018 
"53","10200","53057","9527.00","WA","Skagit WA","Skagit, Island & San Juan Counties",3674,0.017 
"53","10300","53007","9601.00","WA","Chelan WA","Chelan & Douglas Counties",2369,0.021 
"53","10300","53007","9602.00","WA","Chelan WA","Chelan & Douglas Counties",6251,0.056 
"53","10300","53007","9603.00","WA","Chelan WA","Chelan & Douglas Counties",6396,0.058 
"53","10300","53007","9604.00","WA","Chelan WA","Chelan & Douglas Counties",3813,0.034 
"53","10300","53007","9605.00","WA","Chelan WA","Chelan & Douglas Counties",6831,0.062 
"53","10300","53007","9606.00","WA","Chelan WA","Chelan & Douglas Counties",4064,0.037 
"53","10300","53007","9607.00","WA","Chelan WA","Chelan & Douglas Counties",3455,0.031 
"53","10300","53007","9608.01","WA","Chelan WA","Chelan & Douglas Counties",2666,0.024 
"53","10300","53007","9608.02","WA","Chelan WA","Chelan & Douglas Counties",7202,0.065 
"53","10300","53007","9610.00","WA","Chelan WA","Chelan & Douglas Counties",6800,0.061 
"53","10300","53007","9611.00","WA","Chelan WA","Chelan & Douglas Counties",9596,0.087 
"53","10300","53007","9612.00","WA","Chelan WA","Chelan & Douglas Counties",3762,0.034 
"53","10300","53007","9613.01","WA","Chelan WA","Chelan & Douglas Counties",1327,0.012 
"53","10300","53007","9613.02","WA","Chelan WA","Chelan & Douglas Counties",7921,0.071 
"53","10300","53017","9501.00","WA","Douglas WA","Chelan & Douglas Counties",6499,0.059 
"53","10300","53017","9502.00","WA","Douglas WA","Chelan & Douglas Counties",2224,0.02 
"53","10300","53017","9503.00","WA","Douglas WA","Chelan & Douglas Counties",6057,0.055 
"53","10300","53017","9504.00","WA","Douglas WA","Chelan & Douglas Counties",6392,0.058 
"53","10300","53017","9505.00","WA","Douglas WA","Chelan & Douglas Counties",3264,0.029 
"53","10300","53017","9506.00","WA","Douglas WA","Chelan & Douglas Counties",4453,0.04 
"53","10300","53017","9507.00","WA","Douglas WA","Chelan & Douglas Counties",4350,0.039 
"53","10300","53017","9508.00","WA","Douglas WA","Chelan & Douglas Counties",5192,0.047 
"53","10400","53019","9400.00","WA","Ferry WA","Stevens, Okanogan, Pend Oreille & Ferry Counties",1731,0.016 
"53","10400","53019","9701.00","WA","Ferry WA","Stevens, Okanogan, Pend Oreille & Ferry Counties",2694,0.026 
"53","10400","53019","9702.00","WA","Ferry WA","Stevens, Okanogan, Pend Oreille & Ferry Counties",3126,0.03 
"53","10400","53047","9401.00","WA","Okanogan WA","Stevens, Okanogan, Pend Oreille & Ferry Counties",2825,0.027 
"53","10400","53047","9402.00","WA","Okanogan WA","Stevens, Okanogan, Pend Oreille & Ferry Counties",3129,0.03 
"53","10400","53047","9703.00","WA","Okanogan WA","Stevens, Okanogan, Pend Oreille & Ferry Counties",7308,0.069 
"53","10400","53047","9704.00","WA","Okanogan WA","Stevens, Okanogan, Pend Oreille & Ferry Counties",3717,0.035 
"53","10400","53047","9705.00","WA","Okanogan WA","Stevens, Okanogan, Pend Oreille & Ferry Counties",2321,0.022 
