"county","tract","state","puma12","stab","cntyname","PUMAname","pop10","afact"
"County code","Tract","State code","puma12","State abbreviation","County name","PUMA12 name","Total population (2010)","tract to puma12 allocation factor"
"53007","9607.00","53","10300","WA","Chelan WA","Chelan & Douglas Counties",3455,1 
"53007","9608.01","53","10300","WA","Chelan WA","Chelan & Douglas Counties",2666,1 
"53007","9608.02","53","10300","WA","Chelan WA","Chelan & Douglas Counties",7202,1 
"53007","9610.00","53","10300","WA","Chelan WA","Chelan & Douglas Counties",6800,1 
"53007","9611.00","53","10300","WA","Chelan WA","Chelan & Douglas Counties",9596,1 
"53007","9612.00","53","10300","WA","Chelan WA","Chelan & Douglas Counties",3762,1 
"53007","9613.01","53","10300","WA","Chelan WA","Chelan & Douglas Counties",1327,1 
"53007","9613.02","53","10300","WA","Chelan WA","Chelan & Douglas Counties",7921,1 
"53009","0002.00","53","11900","WA","Clallam WA","Clallam & Jefferson Counties",1783,1 
"53009","0003.00","53","11900","WA","Clallam WA","Clallam & Jefferson Counties",4695,1 
"53009","0004.00","53","11900","WA","Clallam WA","Clallam & Jefferson Counties",1758,1 
"53009","0006.00","53","11900","WA","Clallam WA","Clallam & Jefferson Counties",3370,1 
"53009","0007.00","53","11900","WA","Clallam WA","Clallam & Jefferson Counties",3534,1 
"53009","0008.00","53","11900","WA","Clallam WA","Clallam & Jefferson Counties",4181,1 
"53009","0009.00","53","11900","WA","Clallam WA","Clallam & Jefferson Counties",2806,1 
"53009","0010.00","53","11900","WA","Clallam WA","Clallam & Jefferson Counties",2477,1 
"53009","0011.00","53","11900","WA","Clallam WA","Clallam & Jefferson Counties",2969,1 
"53009","0012.00","53","11900","WA","Clallam WA","Clallam & Jefferson Counties",3771,1 
"53009","0013.00","53","11900","WA","Clallam WA","Clallam & Jefferson Counties",3090,1 
"53009","0014.00","53","11900","WA","Clallam WA","Clallam & Jefferson Counties",4510,1 
"53009","0015.00","53","11900","WA","Clallam WA","Clallam & Jefferson Counties",2072,1 
"53009","0016.00","53","11900","WA","Clallam WA","Clallam & Jefferson Counties",3164,1 
"53009","0017.00","53","11900","WA","Clallam WA","Clallam & Jefferson Counties",4670,1 
"53009","0018.00","53","11900","WA","Clallam WA","Clallam & Jefferson Counties",2739,1 
"53009","0019.00","53","11900","WA","Clallam WA","Clallam & Jefferson Counties",5693,1 
"53009","0020.00","53","11900","WA","Clallam WA","Clallam & Jefferson Counties",5202,1 
"53009","0021.00","53","11900","WA","Clallam WA","Clallam & Jefferson Counties",3523,1 
"53009","0023.00","53","11900","WA","Clallam WA","Clallam & Jefferson Counties",3983,1 
"53009","9400.00","53","11900","WA","Clallam WA","Clallam & Jefferson Counties",1414,1 
"53011","0401.01","53","11104","WA","Clark WA","Clark County (North)--Battle Ground City & Orchards",5154,1 
"53011","0401.02","53","11104","WA","Clark WA","Clark County (North)--Battle Ground City & Orchards",3590,1 
"53011","0402.01","53","11104","WA","Clark WA","Clark County (North)--Battle Ground City & Orchards",5670,1 
"53011","0402.02","53","11104","WA","Clark WA","Clark County (North)--Battle Ground City & Orchards",3658,1 
"53011","0402.03","53","11104","WA","Clark WA","Clark County (North)--Battle Ground City & Orchards",5442,1 
