state,fips,padd,electricity_price_series,heating_oil_price_type,heating_oil_price_series,gasoline_price_type,gasoline_price_series,natural_gas_price_series,propane_series_type,propoane_price_series
OH,39,20,ELEC.PRICE.OH-RES.M,S,PET.W_EPD2F_PRS_SOH_DPG.W,S,PET.EMM_EPM0_PTE_SOH_DPG.M,NG.N3010OH3.M,P,PET.M_EPLLPA_PRS_R20_DPG.M
OK,40,20,ELEC.PRICE.OK-RES.M,P,PET.W_EPD2F_PRS_R20_DPG.W,P,PET.EMM_EPM0_PTE_R20_DPG.M,NG.N3010OK3.M,P,PET.M_EPLLPA_PRS_R20_DPG.M
OR,41,50,ELEC.PRICE.OR-RES.M,N,PET.W_EPD2F_PRS_NUS_DPG.W,X,PET.EMM_EPM0_PTE_R5XCA_DPG.M,NG.N3010OR3.M,N,PET.M_EPLLPA_PRS_NUS_DPG.M
PA,42,1Y,ELEC.PRICE.PA-RES.M,S,PET.W_EPD2F_PRS_SPA_DPG.W,P,PET.EMM_EPM0_PTE_R1Y_DPG.M,NG.N3010PA3.M,P,PET.M_EPLLPA_PRS_R1Y_DPG.M
RI,44,1X,ELEC.PRICE.RI-RES.M,S,PET.W_EPD2F_PRS_SRI_DPG.W,P,PET.EMM_EPM0_PTE_R1X_DPG.M,NG.N3010RI3.M,P,PET.M_EPLLPA_PRS_R1X_DPG.M
SC,45,1Z,ELEC.PRICE.SC-RES.M,P,PET.W_EPD2F_PRS_R1Z_DPG.W,P,PET.EMM_EPM0_PTE_R1Z_DPG.M,NG.N3010SC3.M,P,PET.M_EPLLPA_PRS_R1Z_DPG.M
SD,46,20,ELEC.PRICE.SD-RES.M,P,PET.W_EPD2F_PRS_R20_DPG.W,P,PET.EMM_EPM0_PTE_R20_DPG.M,NG.N3010SD3.M,P,PET.M_EPLLPA_PRS_R20_DPG.M
TN,47,20,ELEC.PRICE.TN-RES.M,P,PET.W_EPD2F_PRS_R20_DPG.W,P,PET.EMM_EPM0_PTE_R20_DPG.M,NG.N3010TN3.M,P,PET.M_EPLLPA_PRS_R20_DPG.M
TX,48,30,ELEC.PRICE.TX-RES.M,N,PET.W_EPD2F_PRS_NUS_DPG.W,S,PET.EMM_EPM0_PTE_STX_DPG.M,NG.N3010TX3.M,N,PET.M_EPLLPA_PRS_NUS_DPG.M
UT,49,40,ELEC.PRICE.UT-RES.M,N,PET.W_EPD2F_PRS_NUS_DPG.W,P,PET.EMM_EPM0_PTE_R40_DPG.M,NG.N3010UT3.M,N,PET.M_EPLLPA_PRS_NUS_DPG.M
VT,50,1X,ELEC.PRICE.VT-RES.M,S,PET.W_EPD2F_PRS_SVT_DPG.W,P,PET.EMM_EPM0_PTE_R1X_DPG.M,NG.N3010VT3.M,P,PET.M_EPLLPA_PRS_R1X_DPG.M
VA,51,1Z,ELEC.PRICE.VA-RES.M,S,PET.W_EPD2F_PRS_SVA_DPG.W,P,PET.EMM_EPM0_PTE_R1Z_DPG.M,NG.N3010VA3.M,P,PET.M_EPLLPA_PRS_R1Z_DPG.M
WA,53,50,ELEC.PRICE.WA-RES.M,N,PET.W_EPD2F_PRS_NUS_DPG.W,S,PET.EMM_EPM0_PTE_SWA_DPG.M,NG.N3010WA3.M,N,PET.M_EPLLPA_PRS_NUS_DPG.M
WV,54,1Z,ELEC.PRICE.WV-RES.M,P,PET.W_EPD2F_PRS_R1Z_DPG.W,P,PET.EMM_EPM0_PTE_R1Z_DPG.M,NG.N3010WV3.M,P,PET.M_EPLLPA_PRS_R1Z_DPG.M
WI,55,20,ELEC.PRICE.WI-RES.M,S,PET.W_EPD2F_PRS_SWI_DPG.W,P,PET.EMM_EPM0_PTE_R20_DPG.M,NG.N3010WI3.M,P,PET.M_EPLLPA_PRS_R20_DPG.M
WY,56,40,ELEC.PRICE.WY-RES.M,N,PET.W_EPD2F_PRS_NUS_DPG.W,P,PET.EMM_EPM0_PTE_R40_DPG.M,NG.N3010WY3.M,N,PET.M_EPLLPA_PRS_NUS_DPG.M
US,99,0,ELEC.PRICE.US-RES.M,N,PET.W_EPD2F_PRS_NUS_DPG.W,N,PET.EMM_EPM0_PTE_NUS_DPG.M,NG.N3010US3.M,N,PET.M_EPLLPA_PRS_NUS_DPG.M
